,Name_and_model,Country,Engine,Engine_placement,Transmission,Weight_ratio,Bhp,Torque,Rarity
290,1992 GMC Typhoon,United States of America,5.7L Naturally-Aspirated V8,Front-Engined,3-speed Transmission, 55%/45%,165 bhp (123 kW), 275 lb⋅ft (373 N·m),Common
291,1983 GMC Vandura G-1500,Australia,4.9L Naturally-Aspirated V8,Front-Engined,5-speed Transmission, 56%/44%,263 bhp (196 kW), 308 lb⋅ft (418 N·m),Rare
292,1985 HDT VK Commodore Group A,United States of America,3.5L Twin-Turbocharged V6,Front-Engined,10-speed Transmission, 51%/49%,600 bhp (447 kW), 622 lb⋅ft (843 N·m),Legendary
293,2019 Hennessey VelociRaptor 6x6,United States of America,6.6L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 45%/55%,1817 bhp (1355 kW), 1193 lb⋅ft (1617 N·m),Legendary
294,2021 Hennessey Venom F5,United States of America,6.2L Twin-Turbocharged V8,Mid-Engined,6-speed Transmission, 42%/58%,1200 bhp (895 kW), 1155 lb⋅ft (1566 N·m),Legendary
295,2012 Hennessey Venom GT,Australia,5.7L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 55%/45%,275 bhp (205 kW), 360 lb⋅ft (488 N·m),Common
296,1973 Holden HQ Monaro GTS 350,Australia,5.0L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 52%/48%,240 bhp (179 kW), 315 lb⋅ft (427 N·m),Common
297,1974 Holden Sandman HQ Panelvan,Australia,5.0L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 59%/41%,216 bhp (161 kW), 295 lb⋅ft (400 N·m),Rare
298,1977 Holden Torana A9X,Japan,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 55%/45%,600 bhp (447 kW), 531 lb⋅ft (720 N·m),Epic
299,2016 Honda Civic Coupe GRC,Japan,1.5L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 62%/38%,120 bhp (89 kW), 92 lb⋅ft (125 N·m),Epic
300,1984 Honda Civic CRX Mugen,Japan,1.2L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 60%/40%,76 bhp (57 kW), 75 lb⋅ft (102 N·m),Common
301,1974 Honda Civic RS,Japan,1.6L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 62%/38%,182 bhp (136 kW), 118 lb⋅ft (160 N·m),Common
302,1997 Honda Civic Type R (1997),Japan,2.0L Naturally-Aspirated I4,Front-Engined,6-speed Transmission, 61%/39%,212 bhp (158 kW), 149 lb⋅ft (202 N·m),Common
303,2004 Honda Civic Type-R (2004),Japan,2.0L Naturally-Aspirated I4,Front-Engined,6-speed Transmission, 60%/40%,198 bhp (148 kW), 142 lb⋅ft (193 N·m),Common
304,2007 Honda Civic Type-R (2007),Japan,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 65%/35%,306 bhp (228 kW), 295 lb⋅ft (400 N·m),Common
305,2015 Honda Civic Type R (2015),Japan,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 62%/38%,306 bhp (228 kW), 295 lb⋅ft (400 N·m),Rare
306,2018 Honda Civic Type R (2018),Japan,1.6L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 62%/38%,158 bhp (118 kW), 112 lb⋅ft (152 N·m),Common
307,1991 Honda CR-X SiR,Japan,3.2L Naturally-Aspirated V6,Mid-Engined,5-speed Transmission, 42%/58%,276 bhp (206 kW), 217 lb⋅ft (294 N·m),Epic
308,1992 Honda NSX-R (1992),Japan,3.2L Naturally-Aspirated V6,Mid-Engined,5-speed Transmission, 43%/57%,290 bhp (216 kW), 225 lb⋅ft (305 N·m),Epic
309,2005 Honda NSX-R (2005),Japan,3.2L Naturally-Aspirated V6,Mid-Engined,6-speed Transmission, 43%/57%,290 bhp (216 kW), 224 lb⋅ft (304 N·m),Epic
310,2005 Honda NSX-R GT,Japan,2.3L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 62%/38%,160 bhp (119 kW), 156 lb⋅ft (212 N·m),Common
311,1994 Honda Prelude Si,Japan,3.5L Naturally-Aspirated V6,Front-Engined,6-speed Transmission, 58%/42%,550 bhp (410 kW), 470 lb⋅ft (637 N·m),Epic
312,2015 Honda Ridgeline Baja Trophy Truck,Japan,2.0L Naturally-Aspirated I4,Front-Engined,6-speed Transmission, 50%/50%,247 bhp (184 kW), 161 lb⋅ft (218 N·m),Common
313,2003 Honda S2000,Japan,2.0L Naturally-Aspirated I4,Front-Engined,6-speed Transmission, 49%/51%,237 bhp (177 kW), 162 lb⋅ft (220 N·m),Common
314,2009 Honda S2000 CR,United States of America,5.8L Naturally-Aspirated V8,Front-Engined,5-speed Transmission, 49%/51%,410 bhp (306 kW), 390 lb⋅ft (529 N·m),Rare
315,1955 Hoonigan Chevrolet Bel Air,United States of America,7.4L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 55%/45%,475 bhp (354 kW), 520 lb⋅ft (705 N·m),Rare
316,1972 Hoonigan Chevrolet %22Napalm Nova%22,United States of America,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 52%/48%,371 bhp (277 kW), 368 lb⋅ft (499 N·m),Epic
317,1994 Hoonigan Ford Escort Cosworth WRC %22Cossie V2%22,United States of America,2.5L Naturally-Aspirated I4,Front-Engined,6-speed Transmission, 54%/46%,333 bhp (248 kW), 246 lb⋅ft (334 N·m),Epic
318,1978 Hoonigan Ford Escort RS1800,United States of America,6.7L Twin-Turbocharged V8,Front-Engined,6-speed Transmission, 50%/50%,1400 bhp (1044 kW), 1200 lb⋅ft (1627 N·m),Epic
319,1965 Hoonigan Ford %22Hoonicorn%22 Mustang,United States of America,2.1L Turbocharged I4,Mid-Engined,6-speed Transmission, 50%/50%,750 bhp (559 kW), 590 lb⋅ft (800 N·m),Epic
320,1986 Hoonigan Ford RS200 Evolution,United States of America,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 60%/40%,600 bhp (447 kW), 663 lb⋅ft (899 N·m),Legendary
321,2016 Hoonigan Gymkhana 9 Ford Focus RS RX,United States of America,2.0L Turbocharged I4,Front-Engined,7-speed Transmission, 55%/45%,620 bhp (462 kW), 600 lb⋅ft (813 N·m),Epic
322,1991 Hoonigan Gymkhana 10 Ford Escort Cosworth Group A,United States of America,3.5L Twin-Turbocharged V6,Front-Engined,6-speed Transmission, 57%/43%,914 bhp (682 kW), 702 lb⋅ft (952 N·m),Epic
323,1977 Hoonigan Gymkhana 10 Ford F-150 %27Hoonitruck%27,United States of America,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 60%/40%,600 bhp (447 kW), 663 lb⋅ft (899 N·m),Epic
324,2016 Hoonigan Gymkhana 10 Ford Focus RS RX,United States of America,6.7L Twin-Turbocharged V8,Front-Engined,6-speed Transmission, 50%/50%,1400 bhp (1044 kW), 1200 lb⋅ft (1627 N·m),Epic
325,1965 Hoonigan Gymkhana 10 Ford Hoonicorn Mustang,United States of America,5.3L Turbocharged V8,Front-Engined,6-speed Transmission, 53%/47%,600 bhp (447 kW), 590 lb⋅ft (800 N·m),Rare
326,1992 Hoonigan Mazda RX-7 Twerkstallion,United States of America,3.3L Turbocharged F6,Rear-Engined,5-speed Transmission, 40%/60%,385 bhp (287 kW), 400 lb⋅ft (543 N·m),Rare
327,1991 Hoonigan Rauh-Welt Begriff Porsche 911 Turbo,United States of America,3.0L Turbocharged I6,Mid-Engined,6-speed Transmission, 43%/57%,639 bhp (477 kW), 636 lb⋅ft (862 N·m),Legendary
328,2018 Hot Wheels 2JetZ,United States of America,3.5L Naturally-Aspirated I4,Mid-Engined,8-speed Transmission, 40%/60%,650 bhp (485 kW), 320 lb⋅ft (434 N·m),Epic
329,2012 Hot Wheels Bad to the Blade,United States of America,5.7L Supercharged V8,Front-Engined,6-speed Transmission, 53%/47%,520 bhp (388 kW), 540 lb⋅ft (732 N·m),Legendary
330,2013 Hot Wheels Baja Bone Shaker,United States of America,5.7L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 65%/35%,402 bhp (300 kW), 398 lb⋅ft (540 N·m),Legendary
331,2011 Hot Wheels Bone Shaker,United States of America,5.2L Supercharged V8,Rear-Engined,8-speed Transmission, 45%/55%,760 bhp (567 kW), 625 lb⋅ft (847 N·m),Legendary
332,2000 Hot Wheels Deora II,United States of America,7.3L Turbocharged V8,Front-Engined,5-speed Transmission, 52%/48%,400 bhp (298 kW), 687 lb⋅ft (931 N·m),Legendary
333,1949 Hot Wheels Ford F-5 Dually Custom Hot Rod,United States of America,5.8L Supercharged V8,Front-Engined,5-speed Transmission, 55%/45%,504 bhp (376 kW), 458 lb⋅ft (621 N·m),Legendary
334,2005 Hot Wheels Ford Mustang,United States of America,5.0L Naturally-Aspirated V8,Front-Engined,3-speed Transmission, 55%/45%,350 bhp (261 kW), 400 lb⋅ft (542 N·m),Legendary
335,1957 Hot Wheels Nash Metropolitan Custom,United States of America,1.0L Turbocharged I3,Mid-Engined,8-speed Transmission, 45%/55%,205 bhp (153 kW), 206 lb⋅ft (280 N·m),Legendary
336,2012 Hot Wheels Rip Rod,United States of America,16.5L Supercharged Dual V8,Front-Engined,6-speed Transmission, 57%/43%,1401 bhp (1045 kW), 1401 lb⋅ft (1900 N·m),Legendary
337,1969 Hot Wheels Twin Mill,Australia,6.2L Supercharged V8,Front-Engined,6-speed Transmission, 53%/47%,577 bhp (430 kW), 546 lb⋅ft (740 N·m),Rare
338,2014 HSV GEN-F GTS,Australia,6.2L Supercharged V8,Front-Engined,6-speed Transmission, 55%/45%,577 bhp (430 kW), 546 lb⋅ft (740 N·m),Common
339,2014 HSV Limited Edition Gen-F GTS Maloo,United States of America,6.6L Turbocharged V8,Front-Engined,5-speed Transmission, 52%/48%,300 bhp (224 kW), 520 lb⋅ft (705 N·m),Rare
340,2006 Hummer H1 Alpha,South Korea,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 64%/36%,270 bhp (201 kW), 260 lb⋅ft (353 N·m),Epic
341,2019 Hyundai Veloster N,United States of America,3.0L Twin-Turbocharged V6,Front-Engined,6-speed Transmission, 55%/45%,400 bhp (298 kW), 400 lb⋅ft (542 N·m),Common
342,2015 Infiniti Q60 Concept,United States of America,5.0L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 56%/44%,193 bhp (144 kW), 273 lb⋅ft (370 N·m),Common
343,1970 International Scout 800A,Italy,2x electric motors,Mid-Engined,2-speed Transmission, 49%/51%,750 bhp (559 kW), 774 lb⋅ft (1050 N·m),Rare
344,2019 Italdesign DaVinci Concept,Italy,5.2L Naturally-Aspirated V10,Mid-Engined,7-speed Transmission, 42%/58%,602 bhp (449 kW), 413 lb⋅ft (560 N·m),Legendary
345,2018 Italdesign Zerouno,United Kingdom,3.4L Naturally-Aspirated I6,Front-Engined,4-speed Transmission, 54%/46%,245 bhp (183 kW), 242 lb⋅ft (328 N·m),Legendary
346,1956 Jaguar D-Type,United Kingdom,3.8L Naturally-Aspirated I6,Front-Engined,4-speed Transmission, 47%/53%,265 bhp (198 kW), 260 lb⋅ft (353 N·m),Epic
347,1961 Jaguar E-type S1,United Kingdom,3.0L Supercharged V6,Front-Engined,8-speed Transmission, 50%/50%,380 bhp (283 kW), 332 lb⋅ft (450 N·m),Common
348,2017 Jaguar F-PACE S,United Kingdom,5.0L Supercharged V8,Front-Engined,8-speed Transmission, 53%/47%,575 bhp (429 kW), 516 lb⋅ft (700 N·m),Epic
349,2016 Jaguar F-TYPE Project 7,United Kingdom,5.0L Supercharged V8,Front-Engined,8-speed Transmission, 52%/48%,550 bhp (410 kW), 502 lb⋅ft (681 N·m),Epic
350,2015 Jaguar F-TYPE R Coup%C3%A9,United Kingdom,2x electric motors,Front-Engined,1-speed Transmission, 50%/50%,394 bhp (294 kW), 513 lb⋅ft (696 N·m),Rare
351,2018 Jaguar I-Pace,United Kingdom,3.8L Naturally-Aspirated I6,Front-Engined,4-speed Transmission, 50%/50%,340 bhp (254 kW), 314 lb⋅ft (426 N·m),Legendary
352,1964 Jaguar Lightweight E-Type,United Kingdom,3.8L Naturally-Aspirated I6,Front-Engined,5-speed Transmission, 57%/43%,220 bhp (164 kW), 240 lb⋅ft (325 N·m),Epic
353,1959 Jaguar Mk II 3.8,United Kingdom,6.0L Naturally-Aspirated V12,Mid-Engined,5-speed Transmission, 48%/52%,450 bhp (336 kW), 420 lb⋅ft (569 N·m),Legendary
354,1991 Jaguar Sport XJR-15,United Kingdom,3.0L Supercharged V6,Front-Engined,8-speed Transmission, 53%/47%,340 bhp (254 kW), 332 lb⋅ft (450 N·m),Common
355,2015 Jaguar XE-S,United Kingdom,5.0L Supercharged V8,Front-Engined,8-speed Transmission, 54%/46%,550 bhp (410 kW), 502 lb⋅ft (681 N·m),Rare
356,2015 Jaguar XFR-S,United Kingdom,5.0L Naturally-Aspirated V12,Mid-Engined,5-speed Transmission, 44%/56%,502 bhp (374 kW), 378 lb⋅ft (512 N·m),Rare
357,1966 Jaguar XJ13,United Kingdom,3.5L Twin-Turbocharged V6,Mid-Engined,5-speed Transmission, 42%/58%,542 bhp (404 kW), 473 lb⋅ft (641 N·m),Legendary
358,1993 Jaguar XJ220,United Kingdom,3.5L Twin-Turbocharged V6,Mid-Engined,5-speed Transmission, 42%/58%,680 bhp (507 kW), 526 lb⋅ft (713 N·m),Rare
359,1993 Jaguar XJ220S TWR,United Kingdom,5.0L Supercharged V8,Front-Engined,6-speed Transmission, 53%/47%,542 bhp (404 kW), 501 lb⋅ft (679 N·m),Rare
360,2012 Jaguar XKR-S (2012),United Kingdom,5.0L Supercharged V8,Front-Engined,6-speed Transmission, 54%/46%,542 bhp (404 kW), 502 lb⋅ft (680 N·m),Epic
361,2015 Jaguar XKR-S GT,United States of America,5.0L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 53%/47%,151 bhp (113 kW), 245 lb⋅ft (332 N·m),Common
362,1976 Jeep CJ5 Renegade,United States of America,6.4L Naturally-Aspirated V8,Front-Engined,8-speed Transmission, 54%/46%,470 bhp (350 kW), 465 lb⋅ft (630 N·m),Common
363,2014 Jeep Grand Cherokee SRT,United States of America,6.2L Twin-Screw Supercharged V8,Front-Engined,8-speed Transmission, 57%/43%,707 bhp (527 kW), 645 lb⋅ft (875 N·m),Common
364,2018 Jeep Grand Cherokee Trackhawk,United States of America,3.6L Naturally-Aspirated V6,Front-Engined,8-speed Transmission, 53%/47%,285 bhp (213 kW), 260 lb⋅ft (353 N·m),Common
365,2020 Jeep Gladiator Rubicon,United States of America,6.2L Twin-Screw Supercharged V8,Front-Engined,6-speed Transmission, 55%/45%,707 bhp (527 kW), 650 lb⋅ft (881 N·m),Rare
366,2016 Jeep Trailcat,United States of America,3.6L Naturally-Aspirated V6,Front-Engined,5-speed Transmission, 50%/50%,285 bhp (213 kW), 260 lb⋅ft (353 N·m),Common
367,2012 Jeep Wrangler Rubicon,Sweden,5.0L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 45%/55%,946 bhp (705 kW), 811 lb⋅ft (1100 N·m),Legendary
368,2011 Koenigsegg Agera,Sweden,5.0L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 44%/56%,1341 bhp (1000 kW), 1010 lb⋅ft (1369 N·m),Legendary
369,2017 Koenigsegg Agera RS,Sweden,4.7L Supercharged V8,Mid-Engined,6-speed Transmission, 45%/55%,564 bhp (421 kW), 469 lb⋅ft (636 N·m),Epic
370,2002 Koenigsegg CC8S,Sweden,5.0L Naturally-Aspirated V8,Mid-Engined,6-speed Transmission, 50%/50%,610 bhp (455 kW), 442 lb⋅ft (599 N·m),Legendary
371,2008 Koenigsegg CCGT,Sweden,5.0L Twin-Turbocharged V8,Mid-Engined,9-speed Transmission, 45%/55%,1280 bhp (954 kW), 883 lb⋅ft (1197 N·m),Legendary
372,2020 Koenigsegg Jesko,Sweden,5.0L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 44%/56%,1360 bhp (1014 kW), 1011 lb⋅ft (1371 N·m),Legendary
373,2015 Koenigsegg One:1,Sweden,5.0L Twin-Turbocharged Hybrid V83x YASA-developed Electric Motors,Mid-Engined,1-speed Transmission, 45%/55%,1757 bhp (1310 kW), 1578 lb⋅ft (2140 N·m),Legendary
374,2016 Koenigsegg Regera,Austria,2.0L Turbocharged I4,Mid-Engined,6-speed Transmission, 45%/55%,326 bhp (243 kW), 295 lb⋅ft (400 N·m),Epic
375,2018 KTM X-Bow GT4,Austria,2.0L Turbocharged I4,Mid-Engined,6-speed Transmission, 40%/60%,295 bhp (220 kW), 295 lb⋅ft (400 N·m),Rare
376,2013 KTM X-Bow R,Italy,6.5L Naturally-Aspirated V12,Mid-Engined,7-speed Transmission, 43%/57%,700 bhp (522 kW), 509 lb⋅ft (691 N·m),Epic
377,2012 Lamborghini Aventador J,Italy,6.5L Naturally-Aspirated V12,Mid-Engined,7-speed Transmission, 43%/57%,700 bhp (522 kW), 509 lb⋅ft (690 N·m),Epic
378,2012 Lamborghini Aventador LP700-4,Italy,6.5L Naturally-Aspirated V12,Mid-Engined,7-speed Transmission, 43%/57%,740 bhp (552 kW), 509 lb⋅ft (690 N·m),Epic
379,2016 Lamborghini Aventador Superveloce,Italy,6.5L Naturally-Aspirated V12,Mid-Engined,7-speed Transmission, 43%/57%,759 bhp (566 kW), 531 lb⋅ft (720 N·m),Epic
380,2018 Lamborghini Aventador SVJ,Italy,6.5L Naturally-Aspirated V12,Mid-Engined,7-speed Transmission, 43%/57%,759 bhp (566 kW), 508 lb⋅ft (689 N·m),Legendary
381,2016 Lamborghini Centenario LP 770-4,Italy,5.2L Naturally-Aspirated V12,Mid-Engined,5-speed Transmission, 41%/59%,455 bhp (339 kW), 369 lb⋅ft (500 N·m),Epic
382,1988 Lamborghini Countach LP5000 QV,Italy,6.0L Naturally-Aspirated V12,Mid-Engined,5-speed Transmission, 40%/60%,590 bhp (440 kW), 472 lb⋅ft (640 N·m),Epic
383,1999 Lamborghini Diablo GTR,Italy,5.7L Naturally-Aspirated V12,Mid-Engined,5-speed Transmission, 41%/59%,530 bhp (395 kW), 446 lb⋅ft (605 N·m),Epic
384,1997 Lamborghini Diablo SV,Italy,3.9L Naturally-Aspirated V12,Front-Engined,5-speed Transmission, 52%/48%,350 bhp (261 kW), 290 lb⋅ft (393 N·m),Rare
385,1973 Lamborghini Espada 400 GT,Italy,6.5L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 41%/59%,818 bhp (610 kW), 590 lb⋅ft (800 N·m),Legendary
386,2020 Lamborghini Essenza SCV12,Italy,5.2L Naturally-Aspirated V10,Mid-Engined,6-speed Transmission, 43%/57%,562 bhp (419 kW), 398 lb⋅ft (540 N·m),Epic
387,2012 Lamborghini Gallardo LP570-4 Spyder Performante,Italy,5.2L Naturally-Aspirated V10,Mid-Engined,6-speed Transmission, 43%/57%,562 bhp (419 kW), 398 lb⋅ft (540 N·m),Epic
388,2011 Lamborghini Gallardo LP 570-4 Superleggera,Italy,5.2L Naturally-Aspirated V10,Mid-Engined,7-speed Transmission, 42%/58%,630 bhp (470 kW), 442 lb⋅ft (599 N·m),Rare
389,2020 Lamborghini Hurac%C3%A1n Evo,Italy,5.2L Naturally-Aspirated V10,Mid-Engined,7-speed Transmission, 43%/57%,602 bhp (449 kW), 413 lb⋅ft (560 N·m),Epic
390,2014 Lamborghini Hurac%C3%A1n LP 610-4,Italy,5.2L Naturally-Aspirated V10,Mid-Engined,7-speed Transmission, 43%/57%,630 bhp (470 kW), 442 lb⋅ft (599 N·m),Epic
391,2018 Lamborghini Hurac%C3%A1n Performante,Italy,5.2L Naturally-Aspirated V10,Mid-Engined,7-speed Transmission, 41%/59%,630 bhp (470 kW), 417 lb⋅ft (565 N·m),Legendary
392,2020 Lamborghini Hurac%C3%A1n STO,Italy,5.2L Naturally-Aspirated V10,Mid-Engined,7-speed Transmission, 41%/59%,630 bhp (470 kW), 417 lb⋅ft (565 N·m),Legendary
393,2022 Lamborghini Hurac%C3%A1n Tecnica,Italy,5.1L Naturally-Aspirated V12,Front-Engined,5-speed Transmission, 50%/50%,450 bhp (336 kW), 369 lb⋅ft (500 N·m),Epic
394,1986 Lamborghini LM 002,Italy,3.9L Naturally-Aspirated V12,Mid-Engined,5-speed Transmission, 44%/56%,350 bhp (261 kW), 272 lb⋅ft (369 N·m),Legendary
395,1967 Lamborghini Miura P400,Italy,6.5L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 42%/58%,651 bhp (485 kW), 487 lb⋅ft (660 N·m),Epic
396,2010 Lamborghini Murci%C3%A9lago LP 670-4 SV,Italy,6.5L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 42%/58%,641 bhp (478 kW), 487 lb⋅ft (660 N·m),Legendary
397,2008 Lamborghini Revent%C3%B3n,Italy,6.5L Naturally-Aspirated V12,Mid-Engined,7-speed Transmission, 43%/57%,759 bhp (566 kW), 531 lb⋅ft (720 N·m),Legendary
398,2020 Lamborghini SC20,Italy,5.2L Naturally-Aspirated V10,Mid-Engined,6-speed Transmission, 43%/57%,571 bhp (426 kW), 398 lb⋅ft (540 N·m),Legendary
399,2011 Lamborghini Sesto Elemento,Italy,5.2L Naturally-Aspirated V10,Mid-Engined,6-speed Transmission, 43%/57%,571 bhp (426 kW), 398 lb⋅ft (540 N·m),Legendary
400,2011 Lamborghini Sesto Elemento,Italy,6.5L Naturally-Aspirated Hybrid V12,Mid-Engined,7-speed Transmission, 43%/57%,808 bhp (603 kW), 557 lb⋅ft (755 N·m),Epic
401,2020 Lamborghini Si%C3%A1n Roadster,Italy,4.0L Twin-Turbocharged V8,Front-Engined,8-speed Transmission, 52%/48%,641 bhp (478 kW), 626 lb⋅ft (849 N·m),Rare
402,2019 Lamborghini Urus,Italy,6.5L Naturally-Aspirated V12,Mid-Engined,7-speed Transmission, 43%/57%,740 bhp (552 kW), 508 lb⋅ft (689 N·m),Legendary
403,2013 Lamborghini Veneno,Italy,2.0L Supercharged I4,Mid-Engined,5-speed Transmission, 44%/56%,202 bhp (151 kW), 172 lb⋅ft (233 N·m),Rare
404,1982 Lancia 037 Stradale,Italy,2.0L Turbocharged I4,Front-Engined,5-speed Transmission, 63%/37%,210 bhp (157 kW), 224 lb⋅ft (304 N·m),Common
405,1992 Lancia Delta HF Integrale Evo,Italy,1.7L Twin-Charged I4,Mid-Engined,5-speed Transmission, 45%/55%,247 bhp (184 kW), 214 lb⋅ft (290 N·m),Rare
406,1986 Lancia Delta S4,Italy,2.4L Naturally-Aspirated V6,Mid-Engined,5-speed Transmission, 46%/54%,190 bhp (142 kW), 165 lb⋅ft (224 N·m),Rare
407,1974 Lancia Stratos HF Stradale,United Kingdom,3.9L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 52%/48%,182 bhp (136 kW), 232 lb⋅ft (315 N·m),Common
408,1997 Land Rover Defender 90,United Kingdom,3.0L Turbocharged Hybrid I6 (P400),Front-Engined,8-speed Transmission, 55%/45%,395 bhp (295 kW), 406 lb⋅ft (550 N·m),Common
409,2020 Land Rover Defender 110 X,United Kingdom,3.5L Naturally-Aspirated V8,Front-Engined,info_not_found, 50%/50%,135 bhp (101 kW), 185 lb⋅ft (251 N·m),Common
410,1973 Land Rover Range Rover,United Kingdom,5.0L Supercharged V8,Front-Engined,8-speed Transmission, 52%/48%,550 bhp (410 kW), 502 lb⋅ft (680 N·m),Rare
411,2015 Land Rover Range Rover Sport SVR,United Kingdom,3.0L Supercharged V6,Front-Engined,8-speed Transmission, 49%/51%,375 bhp (280 kW), 332 lb⋅ft (450 N·m),Rare
412,2018 Land Rover Range Rover Velar First Edition,United Kingdom,2.2L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 57%/43%,69 bhp (51 kW), 120 lb⋅ft (163 N·m),Common
413,1972 Land Rover Series III,United States of America,4.8L Naturally-Aspirated V10,Front-Engined,6-speed Transmission, 48%/52%,552 bhp (412 kW), 354 lb⋅ft (480 N·m),Epic
414,2010 Lexus LFA,United States of America,5.0L Naturally-Aspirated V8,Front-Engined,8-speed Transmission, 55%/45%,467 bhp (348 kW), 388 lb⋅ft (526 N·m),Epic
415,2015 Lexus RC F,United States of America,3.0L Naturally-Aspirated I6,Front-Engined,5-speed Transmission, 53%/47%,225 bhp (168 kW), 210 lb⋅ft (285 N·m),Rare
416,1997 Lexus SC300,United States of America,6.2L Naturally-Aspirated V8,Mid-Engined,3-speed Transmission, 50%/50%,430 bhp (321 kW), 424 lb⋅ft (575 N·m),Rare
417,2014 Local Motors Rally Fighter,United Kingdom,5.0L Naturally-Aspirated V8,Mid-Engined,5-speed Transmission, 36%/64%,460 bhp (343 kW), 395 lb⋅ft (536 N·m),Epic
418,1969 Lola 6 Penske Sunoco T70 MkIIIB,United Kingdom,3.5L Supercharged V6,Mid-Engined,6-speed Transmission, 36%/64%,410 bhp (306 kW), 308 lb⋅ft (418 N·m),Epic
419,2016 Lotus 3-Eleven,United Kingdom,1.6L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 47%/53%,126 bhp (94 kW), 113 lb⋅ft (153 N·m),Common
420,1971 Lotus Elan Sprint,United Kingdom,3.5L Twin-Turbocharged V8,Mid-Engined,6-speed Transmission, 42%/58%,350 bhp (261 kW), 295 lb⋅ft (400 N·m),Legendary
421,1997 Lotus Elise GT1,United Kingdom,1.8L Naturally-Aspirated I4,Mid-Engined,5-speed Transmission, 39%/61%,190 bhp (142 kW), 140 lb⋅ft (190 N·m),Common
422,1999 Lotus Elise Series 1 Sport 190,United Kingdom,4x Electric Motors,Mid-Engined,1-speed Transmission, 48%/52%,1973 bhp (1471 kW), 1253 lb⋅ft (1699 N·m),Legendary
423,2020 Lotus Evija,United Kingdom,3.5L Supercharged V6,Mid-Engined,6-speed Transmission, 41%/59%,345 bhp (257 kW), 295 lb⋅ft (400 N·m),Rare
424,2012 Lotus Exige S,Italy,3.0L Supercharged I8,Front-Engined,4-speed Transmission, 55%/45%,360 bhp (268 kW), 332 lb⋅ft (450 N·m),Legendary
425,1939 Maserati 8CTF,Italy,4.7L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 47%/53%,432 bhp (322 kW), 361 lb⋅ft (490 N·m),Epic
426,2010 Maserati Gran Turismo S,Italy,4.7L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 47%/53%,432 bhp (322 kW), 361 lb⋅ft (490 N·m),Epic
427,2010 Maserati Gran Turismo S,Italy,3.0L Twin-Turbocharged V6,Front-Engined,8-speed Transmission, 50%/50%,424 bhp (316 kW), 427 lb⋅ft (579 N·m),Common
428,2017 Maserati Levante S,Italy,6.0L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 41%/59%,756 bhp (564 kW), 523 lb⋅ft (709 N·m),Legendary
429,2008 Maserati MC12 Versione Corsa,Japan,1.8L Turbocharged I4,Front-Engined,6-speed Transmission, 52%/48%,178 bhp (133 kW), 166 lb⋅ft (225 N·m),Common
430,2005 Mazda Mazdaspeed MX-5,Japan,2.0L Naturally-Aspirated I4,Front-Engined,6-speed Transmission, 51%/49%,167 bhp (125 kW), 140 lb⋅ft (190 N·m),Common
431,2013 Mazda MX-5 (2013),Japan,2.0L Naturally-Aspirated I4,Front-Engined,6-speed Transmission, 50%/50%,155 bhp (116 kW), 148 lb⋅ft (200 N·m),Common
432,2016 Mazda MX-5 (2016),Japan,1.8L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 51%/49%,128 bhp (95 kW), 110 lb⋅ft (149 N·m),Common
433,1994 Mazda MX-5 Miata (1994),Japan,1.3L Twin-Turbocharged 2-Rotor Rotary,Front-Engined,5-speed Transmission, 50%/50%,261 bhp (195 kW), 217 lb⋅ft (294 N·m),Common
